Portfolio,Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
Original,Market,4.733236943511134e-05,0.2644919220934567
Original,Sector_Basic_Materials,1.631606284957821e-05,0.09117369097692693
Original,Sector_Communication_Services,-1.0169219349539109e-05,-0.05682530589635679
Original,Sector_Consumer_Cyclical,-2.3228859903163e-05,-0.12980220253393185
Original,Sector_Consumer_Defensive,-2.9789344371017456e-05,-0.16646200147228626
Original,Sector_Energy,6.6672117127411526e-06,0.03725618772000035
Original,Sector_Financial_Services,-4.468443522307042e-05,-0.249695341705064
Original,Sector_Healthcare,-2.334117150916939e-05,-0.13042979656525872
Original,Sector_Industrials,4.232584896229255e-05,0.23651562936483198
Original,Sector_Real_Estate,-2.2150414461254145e-05,-0.12377588035298885
Original,Sector_Technology,0.00014082080247320662,0.7869026030472122
Original,Sector_Utilities,1.5730572385020498e-05,0.08790198706295836
Original,Size,-4.753988056242471e-06,-0.026565148831788024
Original,Nonlinear_Size,8.11886360740128e-06,0.04536797684890986
Original,Momentum,1.2211343532596757e-05,0.06823663722788696
Original,Residual_Volatility,5.708987683702834e-06,0.031901659344151144
Original,Liquidity,-2.7954308474799345e-06,-0.015620787354474624
Original,Book_to_Price,-1.1245833857409819e-06,-0.006284139687043745
Original,Earnings_Yield,3.4563906553198165e-06,0.019314211792939583
Original,Leverage,2.0777346954729635e-08,0.00011610321852982349
Original,Dividend_Yield,1.9533260301291207e-05,0.10915129801230436
Minimum_TE,Market,3.682100830532575e-06,0.0539244557647742
Minimum_TE,Sector_Basic_Materials,7.326768156401226e-06,0.10730069694790745
Minimum_TE,Sector_Communication_Services,-1.4365734034397165e-06,-0.0210386522564162
Minimum_TE,Sector_Consumer_Cyclical,-2.8533405806894332e-06,-0.04178724185099723
Minimum_TE,Sector_Consumer_Defensive,-2.7410118444744027e-06,-0.0401421847909318
Minimum_TE,Sector_Energy,3.4264871423566113e-06,0.05018098711594802
Minimum_TE,Sector_Financial_Services,-6.493685692174585e-06,-0.09510018409989265
Minimum_TE,Sector_Healthcare,-5.571100157533865e-06,-0.08158889661981615
Minimum_TE,Sector_Industrials,1.9827204361993743e-05,0.29036988767165994
Minimum_TE,Sector_Real_Estate,-2.6727962968464233e-06,-0.039143166445200404
Minimum_TE,Sector_Technology,1.0015648992491837e-05,0.14667942185956206
Minimum_TE,Sector_Utilities,4.3684859360843115e-06,0.06397658224512671
Minimum_TE,Size,5.328519169145119e-06,0.07803629217474665
Minimum_TE,Nonlinear_Size,4.282892057994066e-08,0.0006272305782924446
Minimum_TE,Momentum,3.1338420960943415e-06,0.04589519333184147
Minimum_TE,Residual_Volatility,2.3841342793242304e-06,0.03491570421337594
Minimum_TE,Liquidity,1.501025164015639e-07,0.0021982549849691893
Minimum_TE,Book_to_Price,-6.560242784414964e-09,-9.607491432634036e-05
Minimum_TE,Earnings_Yield,-2.5794561043771144e-07,-0.003777619706778693
Minimum_TE,Leverage,2.34481306589752e-08,0.000343398440912241
Minimum_TE,Dividend_Yield,3.1630271286436305e-06,0.046322608839762254
MVO,Market,2.468201041646439e-05,0.10844632434770968
MVO,Sector_Basic_Materials,2.303608225325418e-05,0.10121454474674745
MVO,Sector_Communication_Services,-2.901388210207428e-05,-0.12747944012408668
MVO,Sector_Consumer_Cyclical,-4.9234420155499486e-05,-0.21632321707850355
MVO,Sector_Consumer_Defensive,-5.19183843630056e-05,-0.22811585665986817
MVO,Sector_Energy,9.55704513484251e-06,0.04199116680574256
MVO,Sector_Financial_Services,-7.311800023800169e-05,-0.32126144652207383
MVO,Sector_Healthcare,-2.690917251260698e-05,-0.1182318944442238
MVO,Sector_Industrials,8.632782605961057e-05,0.37930198015183625
MVO,Sector_Real_Estate,-3.883851009419078e-05,-0.17064629630197475
MVO,Sector_Technology,0.00021505581191096976,0.9448992176018159
MVO,Sector_Utilities,2.4528135534489718e-05,0.10777023819921427
MVO,Size,-4.792665362614145e-06,-0.021057723160889056
MVO,Nonlinear_Size,6.112651041663239e-06,0.02685739639127558
MVO,Momentum,3.046541099430138e-05,0.1338570799674573
MVO,Residual_Volatility,-8.672907630697454e-07,-0.0038106496921698975
MVO,Liquidity,4.4582771124905487e-07,0.0019588508294713616
MVO,Book_to_Price,-2.4475137242748542e-06,-0.010753737751084003
MVO,Earnings_Yield,4.863220260182755e-06,0.02136772300194499
MVO,Leverage,3.5634622556910635e-07,0.0015656924904452374
MVO,Dividend_Yield,2.3117314280522843e-05,0.10157145711441759
