Ticker,Weight,Total Variance Contribution Daily,Total Risk Contribution Annual,Total Variance Contribution Pct
SNDK,0.09999999999999508,0.00010628161907861211,0.07467033119455306,0.20817925627504424
MU,0.09999999999999797,7.20927730704857e-05,0.05065025625856527,0.14121181076022463
WDC,0.0999999999999988,7.153582805168828e-05,0.050258963113322536,0.1401208939977167
STX,0.09999999999999976,6.345261915303722e-05,0.04457993892447768,0.12428789830734872
FIX,0.09801113110268533,5.726933531638874e-05,0.04023574605316883,0.11217638324378094
GLW,0.09999999999999976,4.468819733168452e-05,0.03139660953768752,0.0875330632468192
FITB,0.09999999999999976,2.2411006165541482e-05,0.01574531200495149,0.04389758677337212
HII,0.09999999999999976,2.23244423154625e-05,0.01568449479675586,0.04372802972215315
CHRW,0.09999999999999976,2.1169878500660137e-05,0.01487333230992197,0.0414665263844043
NEM,0.084168973618843,2.10215696129854e-05,0.014769134859245412,0.04117602616242077
CIEN,0.008327272254925402,4.881436365743098e-06,0.0034295532312653997,0.00956151967747783
KEYS,0.009492623023547161,3.400638740395388e-06,0.0023891884901615225,0.006661005449229931
APH,3.013314910964401e-15,1.189383521924912e-18,8.356257861840327e-16,2.3297064832723126e-15
MPWR,1.4381237298891626e-15,8.37559843810186e-19,5.884448456351216e-16,1.6405714071901553e-15
CAT,1.9765945459164718e-15,6.851451964726312e-19,4.813628093031548e-16,1.3420290232555799e-15
CEG,1.1125744614716226e-15,5.450551983478766e-19,3.8293970803968516e-16,1.0676275616104343e-15
LRCX,4.453753840184471e-16,2.578137756218568e-19,1.8113235552013035e-16,5.0499306024610625e-16
GEV,4.73830739208623e-16,2.267929012856284e-19,1.5933800405360358e-16,4.442308832647695e-16
AMD,0.0,0.0,0.0,0.0
APP,0.0,0.0,0.0,0.0
FCX,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0
AES,0.0,0.0,0.0,0.0
TER,0.0,0.0,0.0,0.0
INTC,0.0,0.0,0.0,0.0
