Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
Market,0.00037459520514971566,0.733738833566394
Sector_Basic_Materials,1.866679050100375e-05,0.03656359958788205
Sector_Communication_Services,-1.2320341220153228e-05,-0.024132484003371542
Sector_Consumer_Cyclical,-2.6232456365427276e-05,-0.05138285720303633
Sector_Consumer_Defensive,-3.56566946320367e-05,-0.06984259587008643
Sector_Energy,1.0872360552025463e-05,0.021296250031732408
Sector_Financial_Services,-5.371457774607879e-05,-0.10521349734086194
Sector_Healthcare,-2.7746476087549905e-05,-0.05434844525551228
Sector_Industrials,4.844590148739393e-05,0.0948934710315521
Sector_Real_Estate,-2.6113994690671297e-05,-0.05115082024724285
Sector_Technology,0.00015960536777583876,0.3126272167204438
Sector_Utilities,1.594265826564736e-05,0.031227702114095267
Size,-3.990571806756443e-06,-0.007816537591777641
Nonlinear_Size,7.539216276049043e-06,0.014767449450352894
Momentum,1.0842208177985352e-05,0.021237189030808474
Residual_Volatility,6.724889870000448e-06,0.013172386568868322
Liquidity,-2.3424917549407143e-06,-0.00458835869835052
Book_to_Price,-7.476559906927824e-07,-0.0014644721207806024
Earnings_Yield,3.8541389417080465e-06,0.007549299544187786
Leverage,3.768695449938685e-09,7.381936996229825e-06
Dividend_Yield,2.072847284680158e-05,0.040601922499638295
