Portfolio,Factor,Block,ActV_Factor_Daily,ActV_Factor_AnnualizedVariance
Original,Market,Market,2.0515810593583894e-06,0.0005169984269583141
Original,Sector_Basic_Materials,Sector,9.250756133715407e-07,0.00023311905456962825
Original,Sector_Communication_Services,Sector,9.5805379132029e-07,0.0002414295554127131
Original,Sector_Consumer_Cyclical,Sector,2.482020416719087e-06,0.0006254691450132099
Original,Sector_Consumer_Defensive,Sector,1.5337902344627843e-06,0.0003865151390846216
Original,Sector_Energy,Sector,7.179206590877956e-07,0.00018091600609012449
Original,Sector_Financial_Services,Sector,3.5955306899840214e-06,0.0009060737338759734
Original,Sector_Healthcare,Sector,1.6852563585761235e-06,0.0004246846023611831
Original,Sector_Industrials,Sector,1.7188162131723397e-06,0.0004331416857194296
Original,Sector_Real_Estate,Sector,7.817993333189149e-07,0.00019701343199636655
Original,Sector_Technology,Sector,2.6720922631342635e-07,6.733672503098345e-05
Original,Sector_Utilities,Sector,6.528767487455007e-07,0.00016452494068386616
Original,Size,Style,1.960845323883115e-06,0.000494133021618545
Original,Nonlinear_Size,Style,2.819686065577516e-07,7.10560888525534e-05
Original,Momentum,Style,4.7481258269290306e-08,1.1965277083861157e-05
Original,Residual_Volatility,Style,2.8852302847259203e-10,7.270780317509319e-08
Original,Liquidity,Style,3.636695982350855e-09,9.164473875524155e-07
Original,Book_to_Price,Style,2.6176541533832434e-06,0.0006596488466525773
Original,Earnings_Yield,Style,5.936177524005182e-07,0.0001495916736049306
Original,Leverage,Style,9.290398502995967e-08,2.3411804227549837e-05
Original,Dividend_Yield,Style,2.2364326207104543e-07,5.635810204190345e-05
Minimum_TE,Market,Market,4.08743674924399e-05,0.010300340608094856
Minimum_TE,Sector_Basic_Materials,Sector,1.2759900401549936e-05,0.0032154949011905837
Minimum_TE,Sector_Communication_Services,Sector,8.084552177443071e-06,0.002037307148715654
Minimum_TE,Sector_Consumer_Cyclical,Sector,4.085925621720702e-05,0.010296532566736169
Minimum_TE,Sector_Consumer_Defensive,Sector,1.952084040673627e-05,0.00491925178249754
Minimum_TE,Sector_Energy,Sector,4.183009663395538e-05,0.010541184351756756
Minimum_TE,Sector_Financial_Services,Sector,6.107175012319954e-05,0.015390081031046285
Minimum_TE,Sector_Healthcare,Sector,9.983676726798401e-05,0.02515886535153197
Minimum_TE,Sector_Industrials,Sector,3.97850277086399e-05,0.010025826982577256
Minimum_TE,Sector_Real_Estate,Sector,1.6757712144521375e-05,0.0042229434604193865
Minimum_TE,Sector_Technology,Sector,0.0003019262104638684,0.07608540503689483
Minimum_TE,Sector_Utilities,Sector,5.489933249979709e-05,0.013834631789948867
Minimum_TE,Size,Style,4.122926618817239e-07,0.00010389775079419442
Minimum_TE,Nonlinear_Size,Style,2.3112866643235146e-06,0.0005824442394095257
Minimum_TE,Momentum,Style,5.18095367116347e-07,0.00013056003251331943
Minimum_TE,Residual_Volatility,Style,1.762967304730865e-07,4.4426776079217795e-05
Minimum_TE,Liquidity,Style,2.6175294435286124e-09,6.596174197692103e-07
Minimum_TE,Book_to_Price,Style,4.465141653028106e-06,0.0011252156965630828
Minimum_TE,Earnings_Yield,Style,3.5879371561994467e-06,0.0009041601633622606
Minimum_TE,Leverage,Style,6.90480518159973e-08,1.740010905763132e-05
Minimum_TE,Dividend_Yield,Style,7.4774693476333704e-06,0.0018843222756036093
MVO,Market,Market,1.1182919750009771e-05,0.0028180957770024624
MVO,Sector_Basic_Materials,Sector,1.863315662561521e-05,0.004695555469655033
MVO,Sector_Communication_Services,Sector,1.161054291381647e-05,0.0029258568142817507
MVO,Sector_Consumer_Cyclical,Sector,6.934666325618981e-05,0.01747535914055983
MVO,Sector_Consumer_Defensive,Sector,6.77119605766307e-05,0.017063414065310936
MVO,Sector_Energy,Sector,5.9677107376895933e-05,0.015038631058977776
MVO,Sector_Financial_Services,Sector,0.00016108487811915243,0.04059338928602641
MVO,Sector_Healthcare,Sector,0.00014039532112728397,0.03537962092407556
MVO,Sector_Industrials,Sector,9.40187513805328e-05,0.023692725347894267
MVO,Sector_Real_Estate,Sector,4.171655370999954e-05,0.010512571534919884
MVO,Sector_Technology,Sector,0.00021127785260703812,0.053242018856973605
MVO,Sector_Utilities,Sector,5.058782699277069e-05,0.012748132402178215
MVO,Size,Style,1.9620169972952293e-05,0.004944282833183978
MVO,Nonlinear_Size,Style,1.6665826171452653e-06,0.00041997881952060686
MVO,Momentum,Style,9.82667069199282e-06,0.002476321014382191
MVO,Residual_Volatility,Style,6.4356622337002106e-06,0.001621786882892453
MVO,Liquidity,Style,2.73376186113977e-06,0.0006889079890072221
MVO,Book_to_Price,Style,1.1351227681306084e-06,0.00028605093756891334
MVO,Earnings_Yield,Style,1.4029918851841418e-07,3.5355395506640374e-05
MVO,Leverage,Style,5.939914139692527e-07,0.0001496858363202517
MVO,Dividend_Yield,Style,7.0514206014011156e-09,1.776957991553081e-06
