Date,Portfolio,Success,Objective Value,Message
2019-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2019-04-30,Minimum_TE,True,1.1747574733907324e-05,Optimization terminated successfully
2019-04-30,MVO,True,0.6173545330875552,Optimization terminated successfully
2019-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2019-05-31,Minimum_TE,True,8.710621935901511e-06,Optimization terminated successfully
2019-05-31,MVO,True,0.42422815647623247,Optimization terminated successfully
2019-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2019-06-30,Minimum_TE,True,7.201876760210923e-06,Optimization terminated successfully
2019-06-30,MVO,True,0.3167564553010232,Optimization terminated successfully
2019-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2019-07-31,Minimum_TE,True,1.1163562361505e-05,Optimization terminated successfully
2019-07-31,MVO,True,0.4949006524355996,Optimization terminated successfully
2019-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2019-08-31,Minimum_TE,True,1.0857088354470334e-05,Optimization terminated successfully
2019-08-31,MVO,True,0.6021001344230871,Optimization terminated successfully
2019-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2019-09-30,Minimum_TE,True,1.4217689075624505e-05,Optimization terminated successfully
2019-09-30,MVO,True,0.5238234884707572,Optimization terminated successfully
2019-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2019-10-31,Minimum_TE,True,1.3299357729591496e-05,Optimization terminated successfully
2019-10-31,MVO,True,0.4923434837032202,Optimization terminated successfully
2019-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2019-11-30,Minimum_TE,True,1.5000927255589535e-05,Optimization terminated successfully
2019-11-30,MVO,True,0.6936915095997954,Optimization terminated successfully
2019-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2019-12-31,Minimum_TE,True,1.8936915785187344e-05,Optimization terminated successfully
2019-12-31,MVO,True,0.5051534696427539,Optimization terminated successfully
2020-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-01-31,Minimum_TE,True,9.648199633435466e-06,Optimization terminated successfully
2020-01-31,MVO,True,0.5219182242524424,Optimization terminated successfully
2020-02-29,Original,True,,Equal-weight top 5% signal portfolio.
2020-02-29,Minimum_TE,True,1.3698679504843946e-05,Optimization terminated successfully
2020-02-29,MVO,True,0.7091928346187598,Optimization terminated successfully
2020-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-03-31,Minimum_TE,True,1.1218270706455157e-05,Optimization terminated successfully
2020-03-31,MVO,True,0.7745737854678706,Optimization terminated successfully
2020-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2020-04-30,Minimum_TE,True,3.156934381208596e-05,Optimization terminated successfully
2020-04-30,MVO,True,0.6882019335005561,Optimization terminated successfully
2020-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-05-31,Minimum_TE,True,2.8096387596407183e-05,Optimization terminated successfully
2020-05-31,MVO,True,0.7321928581701621,Optimization terminated successfully
2020-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2020-06-30,Minimum_TE,True,3.614257939585895e-05,Optimization terminated successfully
2020-06-30,MVO,True,0.5322587286938714,Optimization terminated successfully
2020-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-07-31,Minimum_TE,True,3.9133490245568024e-05,Optimization terminated successfully
2020-07-31,MVO,True,0.6685102711469896,Optimization terminated successfully
2020-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-08-31,Minimum_TE,True,3.801484872930033e-05,Optimization terminated successfully
2020-08-31,MVO,True,0.741060724831638,Optimization terminated successfully
2020-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2020-09-30,Minimum_TE,True,3.216019181773993e-05,Optimization terminated successfully
2020-09-30,MVO,True,0.6739966838731578,Optimization terminated successfully
2020-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-10-31,Minimum_TE,True,3.0459711033796458e-05,Optimization terminated successfully
2020-10-31,MVO,True,0.6123838730792995,Optimization terminated successfully
2020-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2020-11-30,Minimum_TE,True,3.391902369697008e-05,Optimization terminated successfully
2020-11-30,MVO,True,0.6728693345933142,Optimization terminated successfully
2020-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2020-12-31,Minimum_TE,True,4.171592941055086e-05,Optimization terminated successfully
2020-12-31,MVO,True,0.4124644163702945,Optimization terminated successfully
2021-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-01-31,Minimum_TE,True,4.6517507609116255e-05,Optimization terminated successfully
2021-01-31,MVO,True,0.6686776753530403,Optimization terminated successfully
2021-02-28,Original,True,,Equal-weight top 5% signal portfolio.
2021-02-28,Minimum_TE,True,8.641807230297334e-05,Optimization terminated successfully
2021-02-28,MVO,True,0.5567328358916737,Optimization terminated successfully
2021-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-03-31,Minimum_TE,True,0.00016303927874601747,Optimization terminated successfully
2021-03-31,MVO,True,0.7490154514803807,Optimization terminated successfully
2021-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2021-04-30,Minimum_TE,True,7.677168655437385e-05,Optimization terminated successfully
2021-04-30,MVO,True,0.7554569282410749,Optimization terminated successfully
2021-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-05-31,Minimum_TE,True,6.746594781686296e-05,Optimization terminated successfully
2021-05-31,MVO,True,0.7836568253156496,Optimization terminated successfully
2021-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2021-06-30,Minimum_TE,True,4.937760769631544e-05,Optimization terminated successfully
2021-06-30,MVO,True,0.7876675874283315,Optimization terminated successfully
2021-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-07-31,Minimum_TE,True,4.3704587584840904e-05,Optimization terminated successfully
2021-07-31,MVO,True,0.5768637874570055,Optimization terminated successfully
2021-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-08-31,Minimum_TE,True,7.009574040826676e-05,Optimization terminated successfully
2021-08-31,MVO,True,0.5979498005565961,Optimization terminated successfully
2021-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2021-09-30,Minimum_TE,True,7.551021082433747e-05,Optimization terminated successfully
2021-09-30,MVO,True,0.729464135596473,Optimization terminated successfully
2021-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-10-31,Minimum_TE,True,0.0001031309086809564,Optimization terminated successfully
2021-10-31,MVO,True,0.616272079335361,Optimization terminated successfully
2021-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2021-11-30,Minimum_TE,True,3.0992112330006906e-05,Optimization terminated successfully
2021-11-30,MVO,True,0.5424081144702134,Optimization terminated successfully
2021-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2021-12-31,Minimum_TE,True,2.1161768237877908e-05,Optimization terminated successfully
2021-12-31,MVO,True,0.5831574002987963,Optimization terminated successfully
2022-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-01-31,Minimum_TE,True,3.024743716667468e-05,Optimization terminated successfully
2022-01-31,MVO,True,0.5860487106858792,Optimization terminated successfully
2022-02-28,Original,True,,Equal-weight top 5% signal portfolio.
2022-02-28,Minimum_TE,True,1.8572468759970623e-05,Optimization terminated successfully
2022-02-28,MVO,True,0.6325453493973064,Optimization terminated successfully
2022-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-03-31,Minimum_TE,True,4.2628603897165245e-05,Optimization terminated successfully
2022-03-31,MVO,True,0.7487696558401195,Optimization terminated successfully
2022-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2022-04-30,Minimum_TE,True,3.1605982646913945e-05,Optimization terminated successfully
2022-04-30,MVO,True,0.7730149922888319,Optimization terminated successfully
2022-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-05-31,Minimum_TE,True,2.6516649298517206e-05,Optimization terminated successfully
2022-05-31,MVO,True,0.5870498519667818,Optimization terminated successfully
2022-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2022-06-30,Minimum_TE,True,4.766226559000613e-05,Optimization terminated successfully
2022-06-30,MVO,True,0.7848249154340586,Optimization terminated successfully
2022-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-07-31,Minimum_TE,True,2.7801239226102822e-05,Optimization terminated successfully
2022-07-31,MVO,True,0.6086044637826127,Optimization terminated successfully
2022-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-08-31,Minimum_TE,True,4.5789927330756195e-05,Optimization terminated successfully
2022-08-31,MVO,True,0.5543448690047007,Optimization terminated successfully
2022-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2022-09-30,Minimum_TE,True,3.429491093112465e-05,Optimization terminated successfully
2022-09-30,MVO,True,0.7899752417394386,Optimization terminated successfully
2022-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-10-31,Minimum_TE,True,2.970626021546532e-05,Optimization terminated successfully
2022-10-31,MVO,True,0.6280409572639581,Optimization terminated successfully
2022-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2022-11-30,Minimum_TE,True,7.233552326437958e-05,Optimization terminated successfully
2022-11-30,MVO,True,0.7445164389435686,Optimization terminated successfully
2022-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2022-12-31,Minimum_TE,True,5.597176232355679e-05,Optimization terminated successfully
2022-12-31,MVO,True,0.7501820179537656,Optimization terminated successfully
2023-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-01-31,Minimum_TE,True,3.0213787356929363e-05,Optimization terminated successfully
2023-01-31,MVO,True,0.9054898009872896,Optimization terminated successfully
2023-02-28,Original,True,,Equal-weight top 5% signal portfolio.
2023-02-28,Minimum_TE,True,2.7665895865789843e-05,Optimization terminated successfully
2023-02-28,MVO,True,0.6170401074243296,Optimization terminated successfully
2023-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-03-31,Minimum_TE,True,2.712799717186259e-05,Optimization terminated successfully
2023-03-31,MVO,True,0.7141435076422832,Optimization terminated successfully
2023-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2023-04-30,Minimum_TE,True,2.219968576059878e-05,Optimization terminated successfully
2023-04-30,MVO,True,0.8738952949563735,Optimization terminated successfully
2023-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-05-31,Minimum_TE,True,1.5363482468546707e-05,Optimization terminated successfully
2023-05-31,MVO,True,0.6463283394820547,Optimization terminated successfully
2023-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2023-06-30,Minimum_TE,True,1.660331310685987e-05,Optimization terminated successfully
2023-06-30,MVO,True,0.6627408147297631,Optimization terminated successfully
2023-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-07-31,Minimum_TE,True,1.3883567600006283e-05,Optimization terminated successfully
2023-07-31,MVO,True,0.7307817292190928,Optimization terminated successfully
2023-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-08-31,Minimum_TE,True,1.6458562942461788e-05,Optimization terminated successfully
2023-08-31,MVO,True,0.6356568180108237,Optimization terminated successfully
2023-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2023-09-30,Minimum_TE,True,1.3343398243400778e-05,Optimization terminated successfully
2023-09-30,MVO,True,0.6974218933769826,Optimization terminated successfully
2023-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-10-31,Minimum_TE,True,1.4098595253205135e-05,Optimization terminated successfully
2023-10-31,MVO,True,0.8012149466294994,Optimization terminated successfully
2023-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2023-11-30,Minimum_TE,True,7.781651676246786e-06,Optimization terminated successfully
2023-11-30,MVO,True,0.7166727897593111,Optimization terminated successfully
2023-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2023-12-31,Minimum_TE,True,1.4602509522920004e-05,Optimization terminated successfully
2023-12-31,MVO,True,0.8036215085216649,Optimization terminated successfully
2024-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-01-31,Minimum_TE,True,7.2495845881502e-06,Optimization terminated successfully
2024-01-31,MVO,True,0.7213131753550021,Optimization terminated successfully
2024-02-29,Original,True,,Equal-weight top 5% signal portfolio.
2024-02-29,Minimum_TE,True,1.6043268558272875e-05,Optimization terminated successfully
2024-02-29,MVO,True,0.614964061958968,Optimization terminated successfully
2024-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-03-31,Minimum_TE,True,1.5554039747484896e-05,Optimization terminated successfully
2024-03-31,MVO,True,0.5663644302898947,Optimization terminated successfully
2024-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2024-04-30,Minimum_TE,True,1.7565037910614547e-05,Optimization terminated successfully
2024-04-30,MVO,True,0.42825976001060895,Optimization terminated successfully
2024-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-05-31,Minimum_TE,True,1.8974198276603684e-05,Optimization terminated successfully
2024-05-31,MVO,True,0.48440388050263056,Optimization terminated successfully
2024-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2024-06-30,Minimum_TE,True,1.6849008318593685e-05,Optimization terminated successfully
2024-06-30,MVO,True,0.5260896365992728,Optimization terminated successfully
2024-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-07-31,Minimum_TE,True,2.5666899817345425e-05,Optimization terminated successfully
2024-07-31,MVO,True,0.4453126651651487,Optimization terminated successfully
2024-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-08-31,Minimum_TE,True,2.2508008615012155e-05,Optimization terminated successfully
2024-08-31,MVO,True,0.6029632553534051,Optimization terminated successfully
2024-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2024-09-30,Minimum_TE,True,3.4657282193120146e-05,Optimization terminated successfully
2024-09-30,MVO,True,0.8479300387831872,Optimization terminated successfully
2024-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-10-31,Minimum_TE,True,3.458058027271356e-05,Optimization terminated successfully
2024-10-31,MVO,True,0.5849028940975045,Optimization terminated successfully
2024-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2024-11-30,Minimum_TE,True,2.024836344293833e-05,Optimization terminated successfully
2024-11-30,MVO,True,0.5732633063155488,Optimization terminated successfully
2024-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2024-12-31,Minimum_TE,True,1.622521897635417e-05,Optimization terminated successfully
2024-12-31,MVO,True,0.7339047905293407,Optimization terminated successfully
2025-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-01-31,Minimum_TE,True,2.4073704007537178e-05,Optimization terminated successfully
2025-01-31,MVO,True,0.6915168673424335,Optimization terminated successfully
2025-02-28,Original,True,,Equal-weight top 5% signal portfolio.
2025-02-28,Minimum_TE,True,2.368876084902382e-05,Optimization terminated successfully
2025-02-28,MVO,True,0.7289276982367561,Optimization terminated successfully
2025-03-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-03-31,Minimum_TE,True,2.2632737220071295e-05,Optimization terminated successfully
2025-03-31,MVO,True,0.8105354334488585,Optimization terminated successfully
2025-04-30,Original,True,,Equal-weight top 5% signal portfolio.
2025-04-30,Minimum_TE,True,2.07149655727859e-05,Optimization terminated successfully
2025-04-30,MVO,True,0.8158557250841059,Optimization terminated successfully
2025-05-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-05-31,Minimum_TE,True,2.0231782846369736e-05,Optimization terminated successfully
2025-05-31,MVO,True,0.6945096660795128,Optimization terminated successfully
2025-06-30,Original,True,,Equal-weight top 5% signal portfolio.
2025-06-30,Minimum_TE,True,2.7280160081042907e-05,Optimization terminated successfully
2025-06-30,MVO,False,-2.9617578227065116e-17,Positive directional derivative for linesearch
2025-07-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-07-31,Minimum_TE,True,3.3952919968162985e-05,Optimization terminated successfully
2025-07-31,MVO,True,0.5971702874030799,Optimization terminated successfully
2025-08-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-08-31,Minimum_TE,True,5.862017754615533e-05,Optimization terminated successfully
2025-08-31,MVO,True,0.9025272187653842,Optimization terminated successfully
2025-09-30,Original,True,,Equal-weight top 5% signal portfolio.
2025-09-30,Minimum_TE,True,2.4775715192320872e-05,Optimization terminated successfully
2025-09-30,MVO,True,0.6915517806835016,Optimization terminated successfully
2025-10-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-10-31,Minimum_TE,True,4.984483484885289e-05,Optimization terminated successfully
2025-10-31,MVO,True,0.8238816921080936,Optimization terminated successfully
2025-11-30,Original,True,,Equal-weight top 5% signal portfolio.
2025-11-30,Minimum_TE,True,1.9522891388105154e-05,Optimization terminated successfully
2025-11-30,MVO,True,0.9229328714706945,Optimization terminated successfully
2025-12-31,Original,True,,Equal-weight top 5% signal portfolio.
2025-12-31,Minimum_TE,True,3.407505899044886e-05,Optimization terminated successfully
2025-12-31,MVO,True,0.9417872478149051,Optimization terminated successfully
2026-01-31,Original,True,,Equal-weight top 5% signal portfolio.
2026-01-31,Minimum_TE,True,3.056675415312571e-05,Optimization terminated successfully
2026-01-31,MVO,True,0.7146992511377688,Optimization terminated successfully
2026-02-28,Original,True,,Equal-weight top 5% signal portfolio.
2026-02-28,Minimum_TE,True,6.828257751166555e-05,Optimization terminated successfully
2026-02-28,MVO,True,0.6013243179775628,Optimization terminated successfully
