Ticker,Weight
STX,0.09999999999999978
GLW,0.09999999999999978
HII,0.09999999999999978
CHRW,0.09999999999999978
FITB,0.09999999999999978
WDC,0.09999999999999883
MU,0.099999999999998
SNDK,0.0999999999999951
FIX,0.09801113110268536
NEM,0.08416897361884301
KEYS,0.009492623023547163
CIEN,0.008327272254925404
APH,3.0133149109644017e-15
CAT,1.976594545916472e-15
MPWR,1.438123729889163e-15
CEG,1.1125744614716228e-15
GEV,4.738307392086231e-16
LRCX,4.453753840184472e-16
AMD,0.0
APP,0.0
FCX,0.0
TER,0.0
ALB,0.0
AES,0.0
INTC,0.0
